Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Benzene dicarboxylates,4800 + 4803,2H4,2A5,p-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,4-benzenedimethanol,   4-methylbenzyl alcohol",,"1,4-benzenedimethanol,   4-methylbenzyl alcohol"
Benzene dicarboxylates,4800 + 4803,2H4,2A5,p-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,4-benzenedimethanol,   4-methylbenzyl alcohol",,"1,4-benzenedimethanol,   4-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,p-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,4-benzenedimethanol,   4-methylbenzyl alcohol",,"1,4-benzenedimethanol,   4-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,p-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,4-benzenedimethanol,   4-methylbenzyl alcohol",,"1,4-benzenedimethanol,   4-methylbenzyl alcohol"
Benzene dicarboxylates,4800 + 4803,2H4,2A5,m-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,3-benzenedimethanol,   3-methylbenzyl alcohol",,"1,3-benzenedimethanol,   3-methylbenzyl alcohol"
Benzene dicarboxylates,4800 + 4803,2H4,2A5,m-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,3-benzenedimethanol,   3-methylbenzyl alcohol",,"1,3-benzenedimethanol,   3-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,m-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,3-benzenedimethanol,   3-methylbenzyl alcohol",,"1,3-benzenedimethanol,   3-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,m-xylene,Chris fridge,106.16,liquid,8.1 M,60 mM = 74.1 ul in 10 ml EtOH,"1,3-benzenedimethanol,   3-methylbenzyl alcohol",,"1,3-benzenedimethanol,   3-methylbenzyl alcohol"
Benzene dicarboxylates,4800 + 4803,2H4,2A5,o-xylene,Chris fridge,106.16,liquid,8.2 M,60 mM = 73.2 ul in 10 ml EtOH,"1,2-benzenedimethanol,   2-methylbenzyl alcohol",,"1,2-benzenedimethanol,   2-methylbenzyl alcohol"
Benzene dicarboxylates,4800 + 4803,2H4,2A5,o-xylene,Chris fridge,106.16,liquid,8.2 M,60 mM = 73.2 ul in 10 ml EtOH,"1,2-benzenedimethanol,   2-methylbenzyl alcohol",,"1,2-benzenedimethanol,   2-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,o-xylene,Chris fridge,106.16,liquid,8.2 M,60 mM = 73.2 ul in 10 ml EtOH,"1,2-benzenedimethanol,   2-methylbenzyl alcohol",,"1,2-benzenedimethanol,   2-methylbenzyl alcohol"
Benzene dicarboxylates,4837 + 4838,2B5,2C5,o-xylene,Chris fridge,106.16,liquid,8.2 M,60 mM = 73.2 ul in 10 ml EtOH,"1,2-benzenedimethanol,   2-methylbenzyl alcohol",,"1,2-benzenedimethanol,   2-methylbenzyl alcohol"
Allyl benzenes,7238,1B7,,p-coumaraldehyde,TEST freezer,148.18,solid,n/a,60 mM = 88.9 mg in 10 ml EtOH,p-coumaryl alcohol,,Coumaryl Alcohol
Allyl benzenes,7240,1C7,,p-coumaraldehyde,TEST freezer,148.18,solid,n/a,60 mM = 88.9 mg in 10 ml EtOH,p-coumaryl alcohol,,Coumaryl Alcohol
Allyl benzenes,7242,1D7,,p-coumaraldehyde,TEST freezer,148.18,solid,n/a,60 mM = 88.9 mg in 10 ml EtOH,p-coumaryl alcohol,,Coumaryl Alcohol
Allyl benzenes,7244,1E7,,p-coumaraldehyde,TEST freezer,148.18,solid,n/a,60 mM = 88.9 mg in 10 ml EtOH,p-coumaryl alcohol,,Coumaryl Alcohol
Allyl benzenes,7246,1F7,,p-coumaraldehyde,TEST freezer,148.18,solid,n/a,60 mM = 88.9 mg in 10 ml EtOH,p-coumaryl alcohol,,Coumaryl Alcohol
Allyl benzenes,7238,1B7,,p-coniferaldehyde,TEST freezer,178.18,solid,n/a,60 mM = 106.7 mg in 10 ml EtOH,p-coniferyl alcohol,,Coniferyl Alcohol
Allyl benzenes,7240,1C7,,p-coniferaldehyde,TEST freezer,178.18,solid,n/a,60 mM = 106.7 mg in 10 ml EtOH,p-coniferyl alcohol,,Coniferyl Alcohol
Allyl benzenes,7242,1D7,,p-coniferaldehyde,TEST freezer,178.18,solid,n/a,60 mM = 106.7 mg in 10 ml EtOH,p-coniferyl alcohol,,Coniferyl Alcohol
