H,SBC000107,H,SBC000108,L,SBC000106,SBC000109,
L,SBC000106,SBC000108,H,SBC000109,L,SBC000107,
L,SBC000106,SBC000107,L,SBC000108,H,SBC000109,
L,SBC000107,H,SBC000109,L,SBC000108,L,SBC000106
L,SBC000108,SBC000107,SBC000109,SBC000106,,,
H,SBC000108,H,SBC000106,H,SBC000107,SBC000109,
H,SBC000109,SBC000108,L,SBC000107,SBC000106,,
H,SBC000106,L,SBC000107,SBC000108,SBC000109,,
H,SBC000107,SBC000106,SBC000109,SBC000108,,,
L,SBC000106,L,SBC000109,L,SBC000107,SBC000108,
H,SBC000109,L,SBC000106,H,SBC000108,H,SBC000107
H,SBC000108,L,SBC000107,L,SBC000109,L,SBC000106
L,SBC000108,H,SBC000109,H,SBC000106,SBC000107,
L,SBC000107,L,SBC000106,SBC000109,H,SBC000108,
H,SBC000106,H,SBC000109,H,SBC000107,H,SBC000108
H,SBC000107,SBC000109,SBC000108,H,SBC000106,,
L,SBC000106,H,SBC000108,SBC000109,SBC000107,,
H,SBC000107,SBC000108,SBC000106,SBC000109,,,
H,SBC000106,L,SBC000108,L,SBC000109,H,SBC000107
H,SBC000108,L,SBC000106,SBC000107,SBC000109,,
H,SBC000108,SBC000107,H,SBC000109,SBC000106,,
L,SBC000106,SBC000107,H,SBC000108,SBC000109,,
L,SBC000109,H,SBC000107,SBC000106,SBC000108,,
H,SBC000106,H,SBC000107,SBC000108,L,SBC000109,
L,SBC000107,H,SBC000106,L,SBC000109,SBC000108,
H,SBC000109,H,SBC000108,SBC000107,H,SBC000106,
H,SBC000106,SBC000108,SBC000109,SBC000107,,,
H,SBC000109,H,SBC000106,SBC000108,L,SBC000107,
L,SBC000109,SBC000107,SBC000106,H,SBC000108,,
L,SBC000107,L,SBC000109,H,SBC000108,SBC000106,
L,SBC000109,SBC000108,H,SBC000107,L,SBC000106,
L,SBC000107,L,SBC000108,SBC000106,L,SBC000109,
H,SBC000107,SBC000106,H,SBC000109,L,SBC000108,
H,SBC000108,SBC000109,SBC000106,H,SBC000107,,
L,SBC000109,L,SBC000108,SBC000107,SBC000106,,
H,SBC000106,SBC000109,SBC000107,L,SBC000108,,
H,SBC000109,L,SBC000107,H,SBC000106,SBC000108,
H,SBC000109,SBC000107,L,SBC000106,L,SBC000108,
L,SBC000107,SBC000108,H,SBC000106,H,SBC000109,
L,SBC000109,SBC000106,L,SBC000108,SBC000107,,
L,SBC000108,SBC000106,L,SBC000107,H,SBC000109,
L,SBC000108,SBC000106,SBC000107,L,SBC000109,,
H,SBC000108,SBC000109,L,SBC000106,SBC000107,,
H,SBC000107,SBC000109,SBC000108,SBC000106,,,
L,SBC000109,SBC000106,SBC000108,SBC000107,,,
L,SBC000108,H,SBC000107,SBC000109,H,SBC000106,
L,SBC000108,L,SBC000109,SBC000106,L,SBC000107,
L,SBC000106,SBC000109,SBC000107,SBC000108,,,
