well,id
A01,SBC007594
A2,SBC007838
A03,SBC007847
A04,SBC007857
A05,SBC007868
A06,SBC007878
A07,SBC007889
A08,SBC007900
A09,SBC007911
A10,SBC007921
A11,SBC007931
A12,SBC007941
B01,SBC007609
B02,SBC007839
B3,SBC007849
B04,SBC007859
B05,SBC007869
B06,SBC007880
B07,SBC007891
B08,SBC007901
B09,SBC007912
B10,SBC007922
B11,SBC007932
B12,SBC007942
C01,SBC007831
C02,SBC007840
C03,SBC007850
C04,SBC007860
C05,SBC007871
C06,SBC007881
C07,SBC007892
C08,SBC007902
C09,SBC007913
C10,SBC007924
C11,SBC007934
C12,SBC007943
D1,SBC007832
D02,SBC007841
D03,SBC007851
D04,SBC007861
D05,SBC007872
D06,SBC007882
D07,SBC007893
D08,SBC007903
D09,SBC007915
D10,SBC007925
D11,SBC007935
D12,SBC007945
E01,SBC007833
E2,SBC007843
E03,SBC007852
E04,SBC007862
E05,SBC007873
E6,SBC007884
E07,SBC007894
E08,SBC007905
E09,SBC007916
E10,SBC007926
E11,SBC007936
E12,SBC007946
F01,SBC007834
F02,SBC007844
F03,SBC007854
F04,SBC007864
F05,SBC007874
F06,SBC007885
F07,SBC007896
F08,SBC007906
F09,SBC007917
F10,SBC007927
F11,SBC007937
F12,SBC007948
G01,SBC007835
G02,SBC007845
G03,SBC007855
G04,SBC007865
G05,SBC007875
G06,SBC007887
G07,SBC007897
G8,SBC007907
G09,SBC007918
G10,SBC007928
G11,SBC007938
G12,SBC007949
H01,SBC007836
H02,SBC007846
H03,SBC007856
H04,SBC007867
H05,SBC007877
H06,SBC007888
H07,SBC007898
H08,SBC007909
H09,SBC007920
H10,SBC007930
H11,SBC007940
H12,SBC007951
