well,id
A1,SBC004711_P
B1,SBC004712_P
C1,SBC004713_P
D1,SBC004714_P
E1,SBC004715_P
F1,SBC004716_P
G1,SBC004717_P
H1,SBC004718_P
A2,SBC004719_P
B2,SBC004720_P
C2,SBC004723_P
D2,SBC004724_P
E2,SBC004725_P
F2,SBC004726_P
G2,SBC004727_P
H2,SBC004728_P
A3,SBC004729_P
B3,SBC004731_P
C3,SBC004732_P
D3,SBC004733_P
E3,SBC006930_P
F3,SBC004734_P
G3,SBC006924_P
H3,SBC004737_P
A4,SBC004740_P
B4,SBC010041_P
C4,SBC007156_P
D4,SBC000318_P
E4,SBC007172_P
F4,SBC010512_P
G4,SBC010513_P
